ZipCode,Start_Lng_Representative,Start_Lat_Representative,Date,DelayFromTypicalTrafficMins,Coordinates
94501-1402,-122.239288,37.7714,2019-09-18,9,"(37.7714, -122.239288)"
94501-2140,-122.276558,37.779259,2020-05-09,21,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-06-24,20,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-10-23,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-10-28,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-05,2,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-10,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-12,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-13,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-16,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-21,2,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-11-29,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-01,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-03,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-08,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-27,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-28,3,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-29,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2020-12-31,3,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-01,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-12,2,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-13,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-18,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-20,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-21,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-25,2,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-26,0,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-27,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-01-30,1,"(37.779259, -122.276558)"
94501-2140,-122.276558,37.779259,2021-02-01,0,"(37.779259, -122.276558)"
